stationName;stationShortCode;stationUICCode;stationFrom;stationTo
Saari;SR;964;Saaresta;Saareen
Saarijärvi;SRJ;254;Saarijärveltä;Saarijärvelle
Salminen;SLN;405;Salmisista;Salmisiin
Salo;SLO;55;Salosta;Saloon
Sammalisto;SAM;1246;Sammalistosta;Sammalistoon
Santala;STA;827;Santalasta;Santalaan
Saunakallio;SAU;806;Saunakalliosta;Saunakallioon
Saunamäki;SMÄ;1325;Saunamäeltä;Saunamäkeen
Savio;SAV;555;Saviosta;Savioon
Savonlinna asema;SL;521;Savonlinnasta;Savonlinnaan
Seinäjoki asema;SK;280;Seinäjoelta;Seinäjoelle
Seinäjoki tavara;SKT;1252;Seinäjoki tavarasta;Seinäjoki tavaraan
Selänpää;SPÄ;539;Selänpäästä;Selänpäähän
Sieppijärvi;SPJ;796;Sieppijärveltä;Sieppijärvelle
Sievi;SVI;319;Sievistä;Sieviin
Siikamäki;SKÄ;429;Siikamäestä;Siikamäelle
Siilinjärvi Asema;SIJ;413;Siilinjärveltä;Siilinjärvelle
Simo;SIM;346;Simosta;Simoon
Simpele;SPL;507;Simpeleeltä;Simpeleelle
Sipilä;SIP;1254;Sipilästä;Sipilään
Sisättö;STÖ;1257;Sisätöstä;Sisättöön
Siuntio;STI;576;Siuntiosta;Siuntioon
Siuro;SIU;179;Siurosta;Siuroon
Skogby;SGY;817;Skogbystä;Skogbyhyn
Sköldvik;SLD;560;Sköldvikistä;Sköldvikiin
Sukeva;SKV;424;Sukevalta;Sukevalle
Suolahti;SUO;251;Suolahdesta;Suolahteen
Suonenjoki;SNJ;404;Suonenjoelta;Suonenjoelle
Suoniemi;SNM;638;Suoniemestä;Suoniemeen
Syrjä;SYR;435;Syrjästä;Syrjään
Syrjämäki;SKI;1265;Syrjämäestä;Syrjämäkeen
Sysmäjärvi;SMJ;912;Sysmäjärveltä;Sysmäjärvelle
Säkäniemi;SÄ;918;Säkäniemestä;Säkäniemeen
Sääksjärvi;SJ;157;Sääksjärveltä;Sääksjärvelle
Taavetti;TA;486;Taavetista;Taavettiin
Tahkoluoto;TKO;702;Tahkoluodosta;Tahkoluotoon
Taipale;TE;1268;Taipaleelta;Taipaleelle
Talviainen;TV;1270;Talviaisista;Talviaisiin
Talvivaara;TLV;1323;Talvivaarasta;Talvivaaraan
Tammisaari;TMS;76;Tammisaaresta;Tammisaareen
Tampere asema;TPE;160;Tampereelta;Tampereelle
Tampere Järvensivu;JVS;1272;Tampere Järvensivulta;Tampere Järvensivuun
Tampere tavara;TPET;1273;Tampere tavarasta;Tampere tavaraan
Tampere Viinikka;VKA;1274;Tampere Viinikasta;Tampere Viinikkaan
Tapanila;TNA;552;Tapanilasta;Tapanilaan
Tapavainola;TAP;1276;Tapavainolasta;Tapavainolaan
Tavastila;TSL;837;Tavastilasta;Tavastilaan
Tervajoki;TK;294;Tervajoelta;Tervajoelle
Tervola;TRV;361;Tervolasta;Tervolaan
Teuva;TUV;271;Teuvasta;Teuvaan
Tikkala;TKK;916;Tikkalasta;Tikkalaan
Tikkaperä;TKP;1335;Tikkaperästä;Tikkaperään
Tikkurila asema;TKL;18;Tikkurilasta;Tikkurilaan
Tohmajärvi;TOH;448;Tohmajärveltä;Tohmajärvelle
Toijala;TL;150;Toijalasta;Toijalaan
Toivala;TOI;412;Toivalasta;Toivalaan
Tolsa;TOL;830;Tolsasta;Tolsaan
Tommola;TOM;1280;Tommolasta;Tommolaan
Torkkeli;TRK;1283;Torkkelista;Torkkeliin
Tornio asema;TOR;351;Torniosta;Tornioon
Tornio-Itäinen;TRI;1318;Tornio-Itäisestä;Tornio-Itäiseen
Tornio-raja;TRR;678;Tornio-rajalta;Tornio-rajalle
Tuomarila;TRL;579;Tuomarilasta;Tuomarilaan
Tuomioja;TJA;336;Tuomiojalta;Tuomiojalle
Turenki;TU;44;Turengista;Turenkiin
Turku asema;TKU;130;Turusta;Turkuun
Turku satama;TUS;135;Turku satamasta;Turku satamaan
Turku tavara;TKUT;1285;Turku tavarasta;Turku tavaraan
Tuupovaara;TPV;458;Tuupovaarasta;Tuupovaaraan
Tuuri;TUU;283;Tuurista;Tuuriin
Törmä;TÖR;1287;Törmästä;Törmään
Törölä;TRÄ;1290;Törölästä;Törölään
Uimaharju;UIM;465;Uimaharjulta;Uimaharjuun
Urjala;UR;148;Urjalasta;Urjalaan
Utajärvi;UTJ;376;Utajärveltä;Utajärvelle
Uusikaupunki;UKP;121;Uusikaupungista;Uusikaupunkiin
Uusikylä;UKÄ;105;Uusikylästä;Uusikylään
Vaajakoski;VKO;245;Vaajakoskelta;Vaajakoskelle
Vaala;VAA;377;Vaalasta;Vaalaan
Vaasa;VS;288;Vaasasta;Vaasaan
Vahojärvi;VJR;214;Vahojärveltä;Vahojärvelle
Vainikkala asema;VNA;492;Vainikkalasta;Vainikkalaan
Vainikkala tavara;VNAT;1292;Vainikkala tavarasta;Vainikkala tavaraan
Vainikkala-raja;VNAR;493;Vainikkala-rajalta;Vainikkala-rajalle
Valimo;VMO;847;Valimosta;Valimoon
Valkeakoski;VI;153;Valkeakoskelta;Valkeakoskelle
Valtimo;VLM;475;Valtimosta;Valtimoon
Vammala;VMA;176;Vammalasta;Vammalaan
Vanattara;VTR;1295;Vanattarasta;Vanattaraan
Vantaankoski;VKS;839;Vantaankoskelta;Vantaankoskelle
Varkaus;VAR;432;Varkaudesta;Varkauteen
Vartius;VUS;941;Vartiuksesta;Vartiukseen
Vartius-raja;VUR;949;Vartius-rajalta;Vartius-rajalle
Vasikkahaka;VKH;1300;Vasikkahaasta;Vasikkahakaan
Vaskiluoto;VSK;291;Vaskiluodosta;Vaskiluotoon
Vehkala;VEH;1337;Vehkalasta;Vehkalaan
Venetmäki;VKI;428;Venetmäeltä;Venetmäkeen
Vesanka;VN;239;Vesangasta;Vesankaan
Vierumäki;VRM;112;Vierumäeltä;Vierumäelle
Vihanti;VTI;334;Vihannista;Vihantiin
Vihtari;VIH;438;Vihtarista;Vihtariin
Viiala;VIA;155;Viialasta;Viialaan
Viinijärvi;VNJ;440;Viinijärveltä;Viinijärvelle
Villähde;VLH;104;Villähteeltä;Villähteelle
Vilppula;VLP;196;Vilppulasta;Vilppulaan
Vinnilä;VIN;1305;Vinnilästä;Vinnilään
Virkamies;VMS;1339;Virkmiehestä;Virkamieheen
Voltti;VT;302;Voltista;Volttiin
